prediction,w_ace,winner_name,loser_name,loser_ht,winner_ht,avg_aces_surface,winner_rank,loser_rank,surface
4.0111144464051165,4.0,Albert Montanes,Pablo Andujar,180,175,3.9322916666666665,96,46,Clay
3.7039749262294532,5.0,Albert Montanes,Sam Querrey,198,175,3.9322916666666665,61,64,Clay
4.078513491919962,3.0,Albert Montanes,Maximo Gonzalez,175,175,3.9322916666666665,93,96,Clay
3.869982786641072,3.0,Albert Montanes,Santiago Giraldo,188,175,3.9322916666666665,103,31,Clay
4.8480073609312795,8.0,Albert Montanes,Thomas Johansson,180,175,4.714285714285714,51,87,Hard
4.8773277960497765,4.0,Albert Montanes,Florent Serra,180,175,4.714285714285714,35,50,Hard
3.9284707969343424,1.0,Albert Portas,Filippo Messori,173,188,3.813008130081301,35,326,Clay
3.6873041763406142,0.0,Albert Portas,Greg Rusedski,193,188,3.813008130081301,67,39,Clay
3.8130958144003158,1.0,Albert Portas,Fernando Vicente,180,188,3.813008130081301,133,164,Clay
3.755079319279071,4.0,Albert Portas,Carlos Moya,190,188,3.813008130081301,68,9,Clay
3.79466611702502,4.0,Albert Portas,Adrian Voinea,185,188,3.813008130081301,99,67,Clay
4.028191568346697,3.0,Albert Portas,Galo Blanco,173,188,3.813008130081301,71,70,Clay
3.913884420638927,4.0,Albert Portas,Sargis Sargsian,180,188,3.813008130081301,48,80,Clay
3.727239812130313,5.0,Albert Portas,Davide Sanguinetti,188,188,3.813008130081301,85,115,Clay
3.803044133947,5.0,Albert Portas,Guillermo Canas,185,188,3.813008130081301,85,70,Clay
3.8092436461750623,3.0,Albert Portas,Magnus Norman,188,188,3.813008130081301,42,9,Clay
3.9537565911602077,1.0,Albert Portas,Lleyton Hewitt,180,188,3.813008130081301,42,7,Clay
4.046257179844269,6.0,Albert Portas,Galo Blanco,173,188,3.813008130081301,46,69,Clay
3.881214845255626,7.0,Albert Portas,Mariano Puerta,180,188,3.813008130081301,25,180,Clay
3.9929032002965967,4.0,Albert Portas,Juan Antonio Marin,175,188,3.813008130081301,25,135,Clay
3.592150310277117,1.0,Albert Portas,Rogier Wassen,190,188,3.813008130081301,83,321,Clay
4.055439471253533,2.0,Albert Portas,Olivier Rochus,168,188,3.813008130081301,139,100,Clay
7.848993596700793,14.0,Albert Portas,Dominik Hrbaty,183,188,7.7272727272727275,34,53,Hard
7.8747010033879485,13.0,Albert Portas,Cristiano Caratti,178,188,7.7272727272727275,25,197,Hard
3.414171875695495,1.0,Albert Ramos,Michael Russell,173,188,3.264705882352941,161,72,Clay
3.3059246722155313,1.0,Albert Ramos,Ivan Dodig,183,188,3.264705882352941,82,40,Clay
3.060596586892765,0.0,Albert Ramos,Joao Souza,193,188,3.264705882352941,116,126,Clay
3.4861171665945796,5.0,Albert Ramos,Brian Dabul,170,188,3.264705882352941,113,104,Clay
3.012277522050442,3.0,Albert Ramos,Victor Hanescu,198,188,3.264705882352941,87,83,Clay
3.2952176589747695,1.0,Albert Ramos,Juan Monaco,185,188,3.264705882352941,58,23,Clay
3.334165822328953,4.0,Albert Ramos,Lleyton Hewitt,180,188,3.264705882352941,117,42,Clay
3.0361875709575097,2.0,Albert Ramos,Benoit Paire,196,188,3.264705882352941,95,96,Clay
3.2379137251345713,2.0,Albert Ramos,Jeremy Chardy,188,188,3.264705882352941,56,33,Clay
5.047138600317039,14.0,Albert Ramos,Robby Ginepri,183,188,5.032258064516129,50,234,Hard
4.93869295105487,2.0,Albert Ramos,Rajeev Ram,193,188,5.032258064516129,47,93,Hard
5.197840759823169,8.0,Albert Ramos,Yen Hsun Lu,180,188,5.032258064516129,31,63,Hard
3.3558546369259967,3.0,Alberto Berasategui,Andrea Gaudenzi,183,173,3.2857142857142856,21,62,Carpet
1.7283872592023857,0.0,Alberto Berasategui,Horacio De La Pena,180,173,1.6398305084745763,48,81,Clay
